,area_code,state,market,market_size,profit,margin,sales,cogs,total_expenses,marketing,inventory,budget_profit,budget_cogs,budget_margin,budget_sales,productid,date,product_type,product,type,mes,año
34,203,Connecticut,East,Small Market,39.0,104.0,189.0,85.0,65.0,32.0,476.0,40.0,60.0,80.0,140.0,9,2010-03-01,Herbal Tea,Lemon,Decaf,3,2010
35,203,Connecticut,East,Small Market,32.0,93.0,169.0,76.0,61.0,28.0,580.0,40.0,50.0,80.0,130.0,9,2010-06-01,Herbal Tea,Lemon,Decaf,6,2010
36,203,Connecticut,East,Small Market,50.0,98.0,190.0,80.0,64.0,30.0,494.0,30.0,60.0,70.0,130.0,9,2011-04-01,Herbal Tea,Lemon,Decaf,4,2011
37,203,Connecticut,East,Small Market,36.0,83.0,160.0,67.0,59.0,25.0,599.0,20.0,50.0,60.0,110.0,9,2011-09-01,Herbal Tea,Lemon,Decaf,9,2011
38,203,Connecticut,East,Small Market,50.0,98.0,189.0,79.0,64.0,30.0,593.0,30.0,40.0,50.0,90.0,9,2011-10-01,Herbal Tea,Lemon,Decaf,10,2011
39,203,Connecticut,East,Small Market,46.0,89.0,163.0,74.0,43.0,22.0,949.0,50.0,50.0,70.0,120.0,10,2010-03-01,Herbal Tea,Mint,Decaf,3,2010
40,203,Connecticut,East,Small Market,68.0,90.0,176.0,75.0,44.0,23.0,956.0,50.0,50.0,70.0,120.0,10,2011-02-01,Herbal Tea,Mint,Decaf,2,2011
41,203,Connecticut,East,Small Market,52.0,80.0,147.0,68.0,39.0,21.0,998.0,40.0,50.0,60.0,110.0,10,2011-05-01,Herbal Tea,Mint,Decaf,5,2011
42,203,Connecticut,East,Small Market,49.0,74.0,145.0,62.0,41.0,19.0,1059.0,40.0,40.0,60.0,100.0,10,2011-09-01,Herbal Tea,Mint,Decaf,9,2011
43,203,Connecticut,East,Small Market,52.0,77.0,151.0,65.0,42.0,20.0,1053.0,50.0,30.0,50.0,80.0,10,2011-10-01,Herbal Tea,Mint,Decaf,10,2011
44,203,Connecticut,East,Small Market,53.0,76.0,148.0,63.0,40.0,19.0,1075.0,40.0,40.0,60.0,100.0,10,2011-12-01,Herbal Tea,Mint,Decaf,12,2011
45,203,Connecticut,East,Small Market,43.0,68.0,115.0,47.0,25.0,13.0,821.0,60.0,40.0,80.0,120.0,11,2010-04-01,Tea,Darjeeling,Regular,4,2010
46,203,Connecticut,East,Small Market,32.0,52.0,87.0,35.0,20.0,9.0,894.0,50.0,30.0,60.0,90.0,11,2010-07-01,Tea,Darjeeling,Regular,7,2010
47,203,Connecticut,East,Small Market,28.0,49.0,83.0,34.0,21.0,9.0,890.0,40.0,30.0,50.0,80.0,11,2010-08-01,Tea,Darjeeling,Regular,8,2010
48,203,Connecticut,East,Small Market,41.0,64.0,108.0,44.0,23.0,12.0,886.0,50.0,40.0,70.0,110.0,11,2010-09-01,Tea,Darjeeling,Regular,9,2010
49,203,Connecticut,East,Small Market,46.0,55.0,91.0,37.0,20.0,10.0,876.0,40.0,30.0,60.0,90.0,11,2011-06-01,Tea,Darjeeling,Regular,6,2011
50,206,Washington,West,Small Market,38.0,77.0,130.0,53.0,39.0,16.0,338.0,70.0,60.0,100.0,160.0,2,2010-01-01,Coffee,Columbian,Regular,1,2010
51,206,Washington,West,Small Market,48.0,89.0,150.0,61.0,41.0,19.0,325.0,80.0,70.0,110.0,180.0,2,2010-03-01,Coffee,Columbian,Regular,3,2010
52,206,Washington,West,Small Market,56.0,99.0,167.0,68.0,43.0,21.0,438.0,110.0,90.0,140.0,230.0,2,2010-10-01,Coffee,Columbian,Regular,10,2010
53,206,Washington,West,Small Market,59.0,77.0,145.0,53.0,41.0,16.0,338.0,70.0,60.0,100.0,160.0,2,2011-01-01,Coffee,Columbian,Regular,1,2011
54,206,Washington,West,Small Market,80.0,100.0,180.0,69.0,46.0,22.0,340.0,90.0,80.0,130.0,210.0,2,2011-04-01,Coffee,Columbian,Regular,4,2011
55,206,Washington,West,Small Market,91.0,114.0,191.0,79.0,45.0,25.0,425.0,110.0,90.0,150.0,240.0,2,2011-06-01,Coffee,Columbian,Regular,6,2011
56,206,Washington,West,Small Market,15.0,128.0,220.0,92.0,113.0,22.0,541.0,60.0,110.0,160.0,270.0,3,2010-02-01,Coffee,Decaf Irish Cream,Decaf,2,2010
57,206,Washington,West,Small Market,16.0,132.0,227.0,95.0,46.0,22.0,532.0,70.0,110.0,170.0,280.0,3,2010-03-01,Coffee,Decaf Irish Cream,Decaf,3,2010
58,206,Washington,West,Small Market,17.0,132.0,227.0,95.0,46.0,22.0,554.0,70.0,110.0,170.0,280.0,3,2010-04-01,Coffee,Decaf Irish Cream,Decaf,4,2010
59,206,Washington,West,Small Market,24.0,154.0,264.0,110.0,46.0,22.0,665.0,90.0,130.0,200.0,330.0,3,2010-06-01,Coffee,Decaf Irish Cream,Decaf,6,2010
60,206,Washington,West,Small Market,34.0,184.0,317.0,133.0,46.0,22.0,705.0,100.0,160.0,230.0,390.0,3,2010-08-01,Coffee,Decaf Irish Cream,Decaf,8,2010
61,206,Washington,West,Small Market,24.0,132.0,242.0,95.0,46.0,22.0,532.0,70.0,110.0,170.0,280.0,3,2011-03-01,Coffee,Decaf Irish Cream,Decaf,3,2011
62,206,Washington,West,Small Market,33.0,154.0,262.0,110.0,46.0,22.0,665.0,90.0,130.0,200.0,330.0,3,2011-06-01,Coffee,Decaf Irish Cream,Decaf,6,2011
63,206,Washington,West,Small Market,43.0,173.0,294.0,124.0,46.0,22.0,717.0,100.0,150.0,220.0,370.0,3,2011-07-01,Coffee,Decaf Irish Cream,Decaf,7,2011
64,206,Washington,West,Small Market,24.0,130.0,238.0,93.0,46.0,22.0,692.0,60.0,110.0,160.0,270.0,3,2011-09-01,Coffee,Decaf Irish Cream,Decaf,9,2011
65,206,Washington,West,Small Market,25.0,134.0,245.0,96.0,46.0,22.0,683.0,100.0,140.0,190.0,330.0,3,2011-10-01,Coffee,Decaf Irish Cream,Decaf,10,2011
66,206,Washington,West,Small Market,30.0,145.0,266.0,105.0,46.0,22.0,716.0,50.0,120.0,170.0,290.0,3,2011-12-01,Coffee,Decaf Irish Cream,Decaf,12,2011
67,206,Washington,West,Small Market,0.0,87.0,150.0,63.0,87.0,57.0,506.0,10.0,40.0,60.0,100.0,13,2010-03-01,Tea,Green Tea,Regular,3,2010
68,206,Washington,West,Small Market,-8.0,61.0,105.0,44.0,69.0,39.0,617.0,10.0,20.0,50.0,70.0,13,2010-08-01,Tea,Green Tea,Regular,8,2010
69,206,Washington,West,Small Market,0.0,84.0,144.0,60.0,84.0,54.0,606.0,10.0,20.0,40.0,60.0,13,2010-10-01,Tea,Green Tea,Regular,10,2010
70,206,Washington,West,Small Market,1.0,86.0,147.0,61.0,85.0,55.0,613.0,0.0,40.0,60.0,100.0,13,2010-11-01,Tea,Green Tea,Regular,11,2010
71,206,Washington,West,Small Market,0.0,87.0,160.0,63.0,87.0,57.0,521.0,10.0,40.0,60.0,100.0,13,2011-04-01,Tea,Green Tea,Regular,4,2011
72,206,Washington,West,Small Market,3.0,90.0,153.0,64.0,82.0,58.0,551.0,10.0,40.0,60.0,100.0,13,2011-05-01,Tea,Green Tea,Regular,5,2011
73,206,Washington,West,Small Market,3.0,87.0,159.0,62.0,85.0,56.0,612.0,10.0,40.0,60.0,100.0,13,2011-09-01,Tea,Green Tea,Regular,9,2011
74,206,Washington,West,Small Market,0.0,84.0,153.0,60.0,84.0,54.0,606.0,10.0,20.0,40.0,60.0,13,2011-10-01,Tea,Green Tea,Regular,10,2011
75,206,Washington,West,Small Market,16.0,72.0,130.0,58.0,56.0,22.0,338.0,20.0,50.0,70.0,120.0,5,2010-05-01,Espresso,Caffe Mocha,Regular,5,2010
76,206,Washington,West,Small Market,18.0,74.0,133.0,59.0,56.0,22.0,403.0,20.0,50.0,70.0,120.0,5,2010-07-01,Espresso,Caffe Mocha,Regular,7,2010
77,206,Washington,West,Small Market,20.0,66.0,134.0,54.0,56.0,20.0,312.0,20.0,50.0,60.0,110.0,5,2011-01-01,Espresso,Caffe Mocha,Regular,1,2011
78,206,Washington,West,Small Market,18.0,65.0,126.0,53.0,53.0,20.0,306.0,20.0,50.0,60.0,110.0,5,2011-02-01,Espresso,Caffe Mocha,Regular,2,2011
79,206,Washington,West,Small Market,22.0,70.0,135.0,57.0,55.0,21.0,313.0,30.0,50.0,70.0,120.0,5,2011-04-01,Espresso,Caffe Mocha,Regular,4,2011
80,206,Washington,West,Small Market,19.0,67.0,129.0,54.0,54.0,20.0,391.0,20.0,50.0,60.0,110.0,5,2011-11-01,Espresso,Caffe Mocha,Regular,11,2011
81,206,Washington,West,Small Market,39.0,81.0,150.0,69.0,42.0,21.0,965.0,60.0,60.0,80.0,140.0,6,2010-01-01,Espresso,Decaf Espresso,Decaf,1,2010
82,206,Washington,West,Small Market,39.0,82.0,151.0,69.0,43.0,21.0,965.0,60.0,60.0,80.0,140.0,6,2010-04-01,Espresso,Decaf Espresso,Decaf,4,2010
83,206,Washington,West,Small Market,47.0,92.0,170.0,78.0,45.0,24.0,995.0,60.0,70.0,90.0,160.0,6,2010-05-01,Espresso,Decaf Espresso,Decaf,5,2010
84,206,Washington,West,Small Market,71.0,123.0,226.0,103.0,52.0,31.0,1073.0,90.0,90.0,120.0,210.0,6,2010-08-01,Espresso,Decaf Espresso,Decaf,8,2010
85,206,Washington,West,Small Market,53.0,99.0,182.0,83.0,46.0,25.0,1063.0,70.0,70.0,100.0,170.0,6,2010-09-01,Espresso,Decaf Espresso,Decaf,9,2010
86,206,Washington,West,Small Market,45.0,89.0,164.0,75.0,44.0,23.0,1063.0,40.0,70.0,80.0,150.0,6,2010-11-01,Espresso,Decaf Espresso,Decaf,11,2010
87,206,Washington,West,Small Market,59.0,84.0,165.0,71.0,44.0,22.0,950.0,50.0,60.0,80.0,140.0,6,2011-03-01,Espresso,Decaf Espresso,Decaf,3,2011
88,206,Washington,West,Small Market,58.0,82.0,161.0,69.0,43.0,21.0,965.0,60.0,60.0,80.0,140.0,6,2011-04-01,Espresso,Decaf Espresso,Decaf,4,2011
89,206,Washington,West,Small Market,65.0,92.0,168.0,78.0,42.0,24.0,995.0,60.0,70.0,90.0,160.0,6,2011-05-01,Espresso,Decaf Espresso,Decaf,5,2011
90,206,Washington,West,Small Market,79.0,99.0,194.0,83.0,46.0,25.0,1063.0,70.0,70.0,100.0,170.0,6,2011-09-01,Espresso,Decaf Espresso,Decaf,9,2011
91,206,Washington,West,Small Market,115.0,186.0,310.0,124.0,71.0,40.0,961.0,120.0,100.0,170.0,270.0,8,2010-01-01,Herbal Tea,Chamomile,Decaf,1,2010
92,206,Washington,West,Small Market,121.0,195.0,325.0,130.0,74.0,42.0,945.0,120.0,110.0,170.0,280.0,8,2010-02-01,Herbal Tea,Chamomile,Decaf,2,2010
93,206,Washington,West,Small Market,115.0,186.0,309.0,123.0,71.0,40.0,932.0,120.0,100.0,170.0,270.0,8,2010-03-01,Herbal Tea,Chamomile,Decaf,3,2010
94,206,Washington,West,Small Market,98.0,165.0,275.0,110.0,67.0,36.0,1020.0,100.0,90.0,150.0,240.0,8,2010-05-01,Herbal Tea,Chamomile,Decaf,5,2010
95,206,Washington,West,Small Market,79.0,140.0,232.0,92.0,61.0,30.0,1102.0,90.0,70.0,130.0,200.0,8,2010-06-01,Herbal Tea,Chamomile,Decaf,6,2010
96,206,Washington,West,Small Market,115.0,188.0,313.0,125.0,73.0,41.0,1119.0,130.0,90.0,160.0,250.0,8,2010-10-01,Herbal Tea,Chamomile,Decaf,10,2010
97,206,Washington,West,Small Market,122.0,195.0,325.0,130.0,73.0,42.0,1134.0,120.0,120.0,180.0,300.0,8,2010-11-01,Herbal Tea,Chamomile,Decaf,11,2010
98,206,Washington,West,Small Market,180.0,195.0,346.0,130.0,74.0,42.0,945.0,120.0,110.0,170.0,280.0,8,2011-02-01,Herbal Tea,Chamomile,Decaf,2,2011
99,206,Washington,West,Small Market,157.0,176.0,311.0,116.0,70.0,38.0,962.0,110.0,90.0,160.0,250.0,8,2011-04-01,Herbal Tea,Chamomile,Decaf,4,2011
100,206,Washington,West,Small Market,181.0,195.0,346.0,130.0,73.0,42.0,1134.0,120.0,120.0,180.0,300.0,8,2011-11-01,Herbal Tea,Chamomile,Decaf,11,2011
101,206,Washington,West,Small Market,36.0,59.0,99.0,40.0,23.0,11.0,793.0,50.0,30.0,50.0,80.0,9,2010-05-01,Herbal Tea,Lemon,Decaf,5,2010
102,206,Washington,West,Small Market,50.0,59.0,98.0,40.0,21.0,11.0,793.0,50.0,30.0,50.0,80.0,9,2011-05-01,Herbal Tea,Lemon,Decaf,5,2011
103,206,Washington,West,Small Market,62.0,105.0,167.0,62.0,43.0,19.0,346.0,40.0,40.0,70.0,110.0,11,2010-03-01,Tea,Darjeeling,Regular,3,2010
104,206,Washington,West,Small Market,57.0,99.0,159.0,60.0,42.0,18.0,329.0,40.0,20.0,50.0,70.0,11,2010-10-01,Tea,Darjeeling,Regular,10,2010
105,206,Washington,West,Small Market,98.0,109.0,185.0,65.0,43.0,20.0,372.0,40.0,40.0,70.0,110.0,11,2011-02-01,Tea,Darjeeling,Regular,2,2011
106,206,Washington,West,Small Market,57.0,78.0,124.0,47.0,34.0,14.0,371.0,30.0,30.0,50.0,80.0,11,2011-06-01,Tea,Darjeeling,Regular,6,2011
107,206,Washington,West,Small Market,80.0,94.0,161.0,57.0,40.0,17.0,349.0,40.0,30.0,70.0,100.0,11,2011-09-01,Tea,Darjeeling,Regular,9,2011
108,206,Washington,West,Small Market,41.0,81.0,137.0,56.0,40.0,17.0,382.0,40.0,30.0,60.0,90.0,12,2010-02-01,Tea,Earl Grey,Regular,2,2010
109,206,Washington,West,Small Market,24.0,59.0,99.0,40.0,35.0,12.0,443.0,20.0,20.0,40.0,60.0,12,2010-06-01,Tea,Earl Grey,Regular,6,2010
110,206,Washington,West,Small Market,20.0,54.0,90.0,36.0,34.0,11.0,458.0,30.0,20.0,40.0,60.0,12,2010-08-01,Tea,Earl Grey,Regular,8,2010
111,206,Washington,West,Small Market,34.0,71.0,120.0,49.0,37.0,15.0,454.0,30.0,30.0,50.0,80.0,12,2010-11-01,Tea,Earl Grey,Regular,11,2010
112,206,Washington,West,Small Market,75.0,89.0,168.0,61.0,43.0,19.0,390.0,40.0,40.0,60.0,100.0,12,2011-01-01,Tea,Earl Grey,Regular,1,2011
113,206,Washington,West,Small Market,56.0,77.0,137.0,52.0,39.0,16.0,376.0,30.0,30.0,50.0,80.0,12,2011-03-01,Tea,Earl Grey,Regular,3,2011
114,206,Washington,West,Small Market,45.0,68.0,121.0,46.0,38.0,14.0,388.0,20.0,30.0,40.0,70.0,12,2011-04-01,Tea,Earl Grey,Regular,4,2011
115,206,Washington,West,Small Market,33.0,59.0,98.0,40.0,33.0,12.0,443.0,20.0,20.0,40.0,60.0,12,2011-06-01,Tea,Earl Grey,Regular,6,2011
116,206,Washington,West,Small Market,28.0,54.0,89.0,36.0,32.0,11.0,458.0,30.0,20.0,40.0,60.0,12,2011-08-01,Tea,Earl Grey,Regular,8,2011
117,206,Washington,West,Small Market,50.0,71.0,128.0,49.0,37.0,15.0,454.0,30.0,30.0,50.0,80.0,12,2011-11-01,Tea,Earl Grey,Regular,11,2011
118,206,Washington,West,Small Market,32.0,58.0,103.0,45.0,26.0,14.0,605.0,30.0,40.0,50.0,90.0,4,2010-04-01,Espresso,Caffe Latte,Regular,4,2010
119,206,Washington,West,Small Market,34.0,62.0,110.0,48.0,28.0,15.0,599.0,40.0,40.0,60.0,100.0,4,2010-05-01,Espresso,Caffe Latte,Regular,5,2010
120,206,Washington,West,Small Market,34.0,62.0,110.0,48.0,28.0,15.0,593.0,40.0,40.0,60.0,100.0,4,2010-06-01,Espresso,Caffe Latte,Regular,6,2010
121,206,Washington,West,Small Market,36.0,65.0,115.0,50.0,29.0,16.0,587.0,50.0,40.0,70.0,110.0,4,2010-07-01,Espresso,Caffe Latte,Regular,7,2010
122,206,Washington,West,Small Market,17.0,39.0,69.0,30.0,22.0,9.0,581.0,30.0,20.0,40.0,60.0,4,2010-08-01,Espresso,Caffe Latte,Regular,8,2010
123,206,Washington,West,Small Market,21.0,43.0,76.0,33.0,22.0,10.0,577.0,30.0,30.0,40.0,70.0,4,2010-09-01,Espresso,Caffe Latte,Regular,9,2010
124,206,Washington,West,Small Market,10.0,29.0,51.0,22.0,19.0,7.0,573.0,20.0,10.0,20.0,30.0,4,2010-10-01,Espresso,Caffe Latte,Regular,10,2010
125,206,Washington,West,Small Market,55.0,62.0,123.0,48.0,28.0,15.0,623.0,40.0,40.0,60.0,100.0,4,2011-01-01,Espresso,Caffe Latte,Regular,1,2011
126,206,Washington,West,Small Market,47.0,62.0,109.0,48.0,26.0,15.0,599.0,40.0,40.0,60.0,100.0,4,2011-05-01,Espresso,Caffe Latte,Regular,5,2011
127,206,Washington,West,Small Market,50.0,65.0,114.0,50.0,27.0,16.0,587.0,50.0,40.0,70.0,110.0,4,2011-07-01,Espresso,Caffe Latte,Regular,7,2011
128,206,Washington,West,Small Market,15.0,29.0,54.0,22.0,19.0,7.0,573.0,20.0,10.0,20.0,30.0,4,2011-10-01,Espresso,Caffe Latte,Regular,10,2011
129,206,Washington,West,Small Market,19.0,32.0,60.0,24.0,19.0,7.0,567.0,20.0,20.0,30.0,50.0,4,2011-12-01,Espresso,Caffe Latte,Regular,12,2011
130,209,California,West,Major Market,-84.0,-21.0,106.0,127.0,63.0,40.0,1215.0,40.0,160.0,-30.0,130.0,1,2010-05-01,Coffee,Amaretto,Regular,5,2010
131,209,California,West,Major Market,40.0,76.0,87.0,154.0,71.0,49.0,619.0,40.0,50.0,70.0,100.0,1,2010-07-01,Coffee,Amaretto,Regular,7,2010
132,209,California,West,Major Market,-3.0,50.0,162.0,95.0,55.0,30.0,608.0,30.0,110.0,70.0,180.0,1,2011-01-01,Coffee,Amaretto,Regular,1,2011
133,209,California,West,Major Market,40.0,-25.0,109.0,127.0,63.0,40.0,619.0,40.0,150.0,-30.0,120.0,1,2011-12-01,Coffee,Amaretto,Regular,12,2011
134,209,California,West,Major Market,40.0,76.0,138.0,60.0,46.0,22.0,619.0,40.0,50.0,70.0,130.0,2,2010-04-01,Coffee,Columbian,Regular,4,2010
135,209,California,West,Major Market,40.0,76.0,138.0,60.0,46.0,22.0,619.0,40.0,50.0,70.0,130.0,2,2011-04-01,Coffee,Columbian,Regular,4,2011
136,209,California,West,Major Market,88.0,114.0,201.0,75.0,55.0,24.0,659.0,40.0,50.0,80.0,130.0,13,2011-11-01,Tea,Green Tea,Regular,11,2011
137,209,California,West,Major Market,25.0,168.0,289.0,121.0,46.0,22.0,788.0,30.0,110.0,160.0,270.0,5,2010-05-01,Espresso,Caffe Mocha,Regular,5,2010
138,209,California,West,Major Market,40.0,76.0,138.0,60.0,113.0,22.0,619.0,40.0,50.0,70.0,130.0,6,2010-12-01,Espresso,Decaf Espresso,Decaf,12,2010
139,209,California,West,Major Market,40.0,76.0,138.0,60.0,113.0,22.0,619.0,40.0,50.0,70.0,130.0,6,2011-12-01,Espresso,Decaf Espresso,Decaf,12,2011
140,209,California,West,Major Market,148.0,137.0,247.0,95.0,37.0,26.0,809.0,100.0,80.0,120.0,200.0,8,2011-02-01,Herbal Tea,Chamomile,Decaf,2,2011
141,209,California,West,Major Market,196.0,76.0,138.0,60.0,99.0,77.0,1268.0,40.0,50.0,70.0,130.0,9,2010-09-01,Herbal Tea,Lemon,Decaf,9,2010
142,209,California,West,Major Market,40.0,76.0,138.0,60.0,99.0,77.0,1268.0,40.0,50.0,70.0,130.0,9,2011-09-01,Herbal Tea,Lemon,Decaf,9,2011
143,209,California,West,Major Market,26.0,51.0,90.0,39.0,25.0,12.0,541.0,40.0,20.0,40.0,60.0,10,2010-10-01,Herbal Tea,Mint,Decaf,10,2010
144,209,California,West,Major Market,120.0,163.0,276.0,113.0,43.0,31.0,897.0,90.0,70.0,110.0,180.0,11,2010-06-01,Tea,Darjeeling,Regular,6,2010
145,209,California,West,Major Market,79.0,111.0,187.0,76.0,32.0,21.0,580.0,50.0,30.0,50.0,80.0,12,2010-10-01,Tea,Earl Grey,Regular,10,2010
146,210,Texas,South,Major Market,192.0,76.0,138.0,60.0,96.0,75.0,1213.0,40.0,50.0,70.0,130.0,2,2010-06-01,Coffee,Columbian,Regular,6,2010
147,210,Texas,South,Major Market,112.0,152.0,256.0,104.0,40.0,29.0,952.0,120.0,80.0,140.0,220.0,5,2010-07-01,Espresso,Caffe Mocha,Regular,7,2010
148,210,Texas,South,Major Market,133.0,179.0,302.0,123.0,46.0,34.0,915.0,100.0,70.0,120.0,190.0,5,2010-10-01,Espresso,Caffe Mocha,Regular,10,2010
149,210,Texas,South,Major Market,184.0,178.0,298.0,123.0,42.0,34.0,941.0,120.0,100.0,150.0,250.0,5,2011-08-01,Espresso,Caffe Mocha,Regular,8,2011
150,210,Texas,South,Major Market,48.0,73.0,123.0,50.0,25.0,14.0,589.0,40.0,30.0,60.0,90.0,6,2010-11-01,Espresso,Decaf Espresso,Decaf,11,2010
151,210,Texas,South,Major Market,26.0,51.0,84.0,34.0,30.0,10.0,428.0,30.0,30.0,50.0,80.0,9,2011-08-01,Herbal Tea,Lemon,Decaf,8,2011
