profit,margin,sales,cogs,total_expenses,marketing,inventory,budget_profit,budget_margin,budget_sales,market_encoding,market_size_encoding,año_encoding,Coffee,Espresso,Herbal Tea,Tea
3.0,90.0,153.0,64.0,82.0,58.0,551.0,10.0,60.0,100.0,2,0,1,0,0,0,1
3.0,87.0,159.0,62.0,85.0,56.0,612.0,10.0,60.0,100.0,2,0,1,0,0,0,1
0.0,84.0,153.0,60.0,84.0,54.0,606.0,10.0,40.0,60.0,2,0,1,0,0,0,1
16.0,72.0,130.0,58.0,56.0,22.0,338.0,20.0,70.0,120.0,2,0,0,0,1,0,0
18.0,74.0,133.0,59.0,56.0,22.0,403.0,20.0,70.0,120.0,2,0,0,0,1,0,0
20.0,66.0,134.0,54.0,56.0,20.0,312.0,20.0,60.0,110.0,2,0,1,0,1,0,0
18.0,65.0,126.0,53.0,53.0,20.0,306.0,20.0,60.0,110.0,2,0,1,0,1,0,0
22.0,70.0,135.0,57.0,55.0,21.0,313.0,30.0,70.0,120.0,2,0,1,0,1,0,0
19.0,67.0,129.0,54.0,54.0,20.0,391.0,20.0,60.0,110.0,2,0,1,0,1,0,0
39.0,81.0,150.0,69.0,42.0,21.0,965.0,60.0,80.0,140.0,2,0,0,0,1,0,0
39.0,82.0,151.0,69.0,43.0,21.0,965.0,60.0,80.0,140.0,2,0,0,0,1,0,0
47.0,92.0,170.0,78.0,45.0,24.0,995.0,60.0,90.0,160.0,2,0,0,0,1,0,0
71.0,123.0,226.0,103.0,52.0,31.0,1073.0,90.0,120.0,210.0,2,0,0,0,1,0,0
53.0,99.0,182.0,83.0,46.0,25.0,1063.0,70.0,100.0,170.0,2,0,0,0,1,0,0
45.0,89.0,164.0,75.0,44.0,23.0,1063.0,40.0,80.0,150.0,2,0,0,0,1,0,0
59.0,84.0,165.0,71.0,44.0,22.0,950.0,50.0,80.0,140.0,2,0,1,0,1,0,0
58.0,82.0,161.0,69.0,43.0,21.0,965.0,60.0,80.0,140.0,2,0,1,0,1,0,0
65.0,92.0,168.0,78.0,42.0,24.0,995.0,60.0,90.0,160.0,2,0,1,0,1,0,0
79.0,99.0,194.0,83.0,46.0,25.0,1063.0,70.0,100.0,170.0,2,0,1,0,1,0,0
115.0,186.0,310.0,124.0,71.0,40.0,961.0,120.0,170.0,270.0,2,0,0,0,0,1,0
121.0,195.0,325.0,130.0,74.0,42.0,945.0,120.0,170.0,280.0,2,0,0,0,0,1,0
115.0,186.0,309.0,123.0,71.0,40.0,932.0,120.0,170.0,270.0,2,0,0,0,0,1,0
98.0,165.0,275.0,110.0,67.0,36.0,1020.0,100.0,150.0,240.0,2,0,0,0,0,1,0
79.0,140.0,232.0,92.0,61.0,30.0,1102.0,90.0,130.0,200.0,2,0,0,0,0,1,0
115.0,188.0,313.0,125.0,73.0,41.0,1119.0,130.0,160.0,250.0,2,0,0,0,0,1,0
122.0,195.0,325.0,130.0,73.0,42.0,1134.0,120.0,180.0,300.0,2,0,0,0,0,1,0
180.0,195.0,346.0,130.0,74.0,42.0,945.0,120.0,170.0,280.0,2,0,1,0,0,1,0
157.0,176.0,311.0,116.0,70.0,38.0,962.0,110.0,160.0,250.0,2,0,1,0,0,1,0
181.0,195.0,346.0,130.0,73.0,42.0,1134.0,120.0,180.0,300.0,2,0,1,0,0,1,0
36.0,59.0,99.0,40.0,23.0,11.0,793.0,50.0,50.0,80.0,2,0,0,0,0,1,0
50.0,59.0,98.0,40.0,21.0,11.0,793.0,50.0,50.0,80.0,2,0,1,0,0,1,0
62.0,105.0,167.0,62.0,43.0,19.0,346.0,40.0,70.0,110.0,2,0,0,0,0,0,1
57.0,99.0,159.0,60.0,42.0,18.0,329.0,40.0,50.0,70.0,2,0,0,0,0,0,1
98.0,109.0,185.0,65.0,43.0,20.0,372.0,40.0,70.0,110.0,2,0,1,0,0,0,1
57.0,78.0,124.0,47.0,34.0,14.0,371.0,30.0,50.0,80.0,2,0,1,0,0,0,1
80.0,94.0,161.0,57.0,40.0,17.0,349.0,40.0,70.0,100.0,2,0,1,0,0,0,1
41.0,81.0,137.0,56.0,40.0,17.0,382.0,40.0,60.0,90.0,2,0,0,0,0,0,1
24.0,59.0,99.0,40.0,35.0,12.0,443.0,20.0,40.0,60.0,2,0,0,0,0,0,1
20.0,54.0,90.0,36.0,34.0,11.0,458.0,30.0,40.0,60.0,2,0,0,0,0,0,1
34.0,71.0,120.0,49.0,37.0,15.0,454.0,30.0,50.0,80.0,2,0,0,0,0,0,1
75.0,89.0,168.0,61.0,43.0,19.0,390.0,40.0,60.0,100.0,2,0,1,0,0,0,1
56.0,77.0,137.0,52.0,39.0,16.0,376.0,30.0,50.0,80.0,2,0,1,0,0,0,1
45.0,68.0,121.0,46.0,38.0,14.0,388.0,20.0,40.0,70.0,2,0,1,0,0,0,1
33.0,59.0,98.0,40.0,33.0,12.0,443.0,20.0,40.0,60.0,2,0,1,0,0,0,1
28.0,54.0,89.0,36.0,32.0,11.0,458.0,30.0,40.0,60.0,2,0,1,0,0,0,1
50.0,71.0,128.0,49.0,37.0,15.0,454.0,30.0,50.0,80.0,2,0,1,0,0,0,1
32.0,58.0,103.0,45.0,26.0,14.0,605.0,30.0,50.0,90.0,2,0,0,0,1,0,0
34.0,62.0,110.0,48.0,28.0,15.0,599.0,40.0,60.0,100.0,2,0,0,0,1,0,0
34.0,62.0,110.0,48.0,28.0,15.0,593.0,40.0,60.0,100.0,2,0,0,0,1,0,0
36.0,65.0,115.0,50.0,29.0,16.0,587.0,50.0,70.0,110.0,2,0,0,0,1,0,0
17.0,39.0,69.0,30.0,22.0,9.0,581.0,30.0,40.0,60.0,2,0,0,0,1,0,0
21.0,43.0,76.0,33.0,22.0,10.0,577.0,30.0,40.0,70.0,2,0,0,0,1,0,0
10.0,29.0,51.0,22.0,19.0,7.0,573.0,20.0,20.0,30.0,2,0,0,0,1,0,0
55.0,62.0,123.0,48.0,28.0,15.0,623.0,40.0,60.0,100.0,2,0,1,0,1,0,0
47.0,62.0,109.0,48.0,26.0,15.0,599.0,40.0,60.0,100.0,2,0,1,0,1,0,0
50.0,65.0,114.0,50.0,27.0,16.0,587.0,50.0,70.0,110.0,2,0,1,0,1,0,0
15.0,29.0,54.0,22.0,19.0,7.0,573.0,20.0,20.0,30.0,2,0,1,0,1,0,0
19.0,32.0,60.0,24.0,19.0,7.0,567.0,20.0,30.0,50.0,2,0,1,0,1,0,0
-84.0,-21.0,106.0,127.0,63.0,40.0,1215.0,40.0,-30.0,130.0,2,1,0,1,0,0,0
40.0,76.0,87.0,154.0,71.0,49.0,619.0,40.0,70.0,100.0,2,1,0,1,0,0,0
-3.0,50.0,162.0,95.0,55.0,30.0,608.0,30.0,70.0,180.0,2,1,1,1,0,0,0
40.0,-25.0,109.0,127.0,63.0,40.0,619.0,40.0,-30.0,120.0,2,1,1,1,0,0,0
40.0,76.0,138.0,60.0,46.0,22.0,619.0,40.0,70.0,130.0,2,1,0,1,0,0,0
40.0,76.0,138.0,60.0,46.0,22.0,619.0,40.0,70.0,130.0,2,1,1,1,0,0,0
88.0,114.0,201.0,75.0,55.0,24.0,659.0,40.0,80.0,130.0,2,1,1,0,0,0,1
25.0,168.0,289.0,121.0,46.0,22.0,788.0,30.0,160.0,270.0,2,1,0,0,1,0,0
40.0,76.0,138.0,60.0,113.0,22.0,619.0,40.0,70.0,130.0,2,1,0,0,1,0,0
40.0,76.0,138.0,60.0,113.0,22.0,619.0,40.0,70.0,130.0,2,1,1,0,1,0,0
148.0,137.0,247.0,95.0,37.0,26.0,809.0,100.0,120.0,200.0,2,1,1,0,0,1,0
196.0,76.0,138.0,60.0,99.0,77.0,1268.0,40.0,70.0,130.0,2,1,0,0,0,1,0
40.0,76.0,138.0,60.0,99.0,77.0,1268.0,40.0,70.0,130.0,2,1,1,0,0,1,0
26.0,51.0,90.0,39.0,25.0,12.0,541.0,40.0,40.0,60.0,2,1,0,0,0,1,0
120.0,163.0,276.0,113.0,43.0,31.0,897.0,90.0,110.0,180.0,2,1,0,0,0,0,1
79.0,111.0,187.0,76.0,32.0,21.0,580.0,50.0,50.0,80.0,2,1,0,0,0,0,1
192.0,76.0,138.0,60.0,96.0,75.0,1213.0,40.0,70.0,130.0,4,1,0,1,0,0,0
112.0,152.0,256.0,104.0,40.0,29.0,952.0,120.0,140.0,220.0,4,1,0,0,1,0,0
133.0,179.0,302.0,123.0,46.0,34.0,915.0,100.0,120.0,190.0,4,1,0,0,1,0,0
184.0,178.0,298.0,123.0,42.0,34.0,941.0,120.0,150.0,250.0,4,1,1,0,1,0,0
48.0,73.0,123.0,50.0,25.0,14.0,589.0,40.0,60.0,90.0,4,1,0,0,1,0,0
26.0,51.0,84.0,34.0,30.0,10.0,428.0,30.0,50.0,80.0,4,1,1,0,0,1,0
83.0,117.0,198.0,81.0,34.0,22.0,460.0,100.0,130.0,210.0,3,1,0,0,0,0,1
84.0,80.0,150.0,54.0,27.0,15.0,456.0,70.0,90.0,140.0,3,1,1,0,0,0,1
123.0,124.0,208.0,86.0,33.0,24.0,499.0,100.0,130.0,220.0,3,1,1,0,0,0,1
40.0,76.0,66.0,135.0,46.0,22.0,619.0,40.0,-70.0,60.0,3,1,0,0,1,0,0
40.0,-59.0,70.0,125.0,46.0,22.0,1382.0,40.0,-60.0,60.0,3,1,1,0,1,0,0
40.0,76.0,77.0,173.0,46.0,22.0,619.0,40.0,70.0,70.0,3,1,1,0,1,0,0
40.0,76.0,138.0,60.0,46.0,22.0,1565.0,40.0,70.0,130.0,3,1,1,0,0,1,0
40.0,76.0,112.0,60.0,99.0,77.0,619.0,40.0,70.0,80.0,3,1,0,0,0,1,0
138.0,185.0,312.0,127.0,47.0,35.0,1007.0,160.0,200.0,330.0,3,1,0,0,0,0,1
190.0,185.0,309.0,127.0,44.0,35.0,1007.0,160.0,200.0,330.0,3,1,1,0,0,0,1
187.0,76.0,138.0,60.0,96.0,72.0,1271.0,40.0,70.0,130.0,3,1,0,0,1,0,0
40.0,76.0,138.0,60.0,91.0,66.0,1197.0,40.0,70.0,130.0,3,1,1,0,1,0,0
40.0,76.0,138.0,60.0,46.0,22.0,619.0,40.0,70.0,130.0,2,1,1,1,0,0,0
40.0,76.0,138.0,60.0,46.0,22.0,619.0,40.0,70.0,130.0,2,1,1,1,0,0,0
40.0,76.0,138.0,60.0,46.0,22.0,619.0,40.0,70.0,130.0,2,1,1,1,0,0,0
47.0,101.0,168.0,67.0,54.0,22.0,677.0,50.0,80.0,120.0,2,1,0,0,0,0,1
203.0,76.0,138.0,60.0,109.0,77.0,1310.0,40.0,70.0,130.0,2,1,0,0,1,0,0
40.0,76.0,138.0,60.0,46.0,22.0,619.0,40.0,70.0,130.0,2,1,0,0,1,0,0
40.0,76.0,138.0,60.0,107.0,75.0,619.0,40.0,70.0,130.0,2,1,1,0,1,0,0
84.0,117.0,198.0,81.0,33.0,22.0,984.0,80.0,110.0,180.0,2,1,0,0,0,1,0
165.0,76.0,138.0,60.0,88.0,66.0,923.0,170.0,230.0,130.0,2,1,0,0,0,1,0
174.0,76.0,138.0,60.0,91.0,69.0,1272.0,160.0,240.0,130.0,2,1,0,0,0,1,0
52.0,68.0,119.0,52.0,28.0,17.0,554.0,40.0,60.0,100.0,2,1,1,0,0,1,0
128.0,172.0,290.0,118.0,44.0,33.0,930.0,110.0,130.0,210.0,2,1,0,0,0,0,1
40.0,76.0,138.0,60.0,92.0,74.0,619.0,170.0,70.0,130.0,2,1,1,0,1,0,0
40.0,76.0,138.0,60.0,92.0,74.0,619.0,170.0,70.0,130.0,2,1,1,0,1,0,0
197.0,76.0,138.0,60.0,98.0,77.0,1268.0,40.0,70.0,130.0,4,1,0,1,0,0,0
70.0,109.0,193.0,84.0,39.0,27.0,603.0,110.0,140.0,240.0,4,1,0,1,0,0,0
26.0,51.0,90.0,39.0,25.0,12.0,541.0,80.0,90.0,130.0,4,1,0,1,0,0,0
52.0,79.0,133.0,54.0,27.0,15.0,601.0,40.0,60.0,100.0,4,1,0,0,1,0,0
119.0,112.0,201.0,77.0,32.0,21.0,449.0,90.0,100.0,160.0,4,1,1,0,1,0,0
33.0,80.0,140.0,60.0,47.0,19.0,329.0,50.0,80.0,130.0,4,1,0,0,0,1,0
31.0,77.0,134.0,57.0,46.0,18.0,323.0,50.0,80.0,130.0,4,1,0,0,0,1,0
28.0,63.0,109.0,47.0,40.0,15.0,420.0,30.0,60.0,100.0,4,1,1,0,0,1,0
24.0,60.0,101.0,41.0,36.0,13.0,435.0,30.0,60.0,90.0,4,1,0,0,0,1,0
37.0,71.0,122.0,52.0,41.0,17.0,361.0,40.0,70.0,120.0,1,1,1,1,0,0,0
42.0,72.0,133.0,53.0,44.0,17.0,410.0,50.0,80.0,130.0,1,1,1,1,0,0,0
-5.0,71.0,122.0,51.0,76.0,46.0,503.0,30.0,70.0,110.0,1,1,0,1,0,0,0
81.0,146.0,291.0,145.0,65.0,40.0,1304.0,120.0,180.0,340.0,1,1,0,0,1,0,0
138.0,163.0,346.0,162.0,70.0,45.0,1091.0,130.0,200.0,380.0,1,1,1,0,1,0,0
116.0,149.0,295.0,149.0,60.0,41.0,1156.0,120.0,180.0,350.0,1,1,1,0,1,0,0
112.0,146.0,288.0,145.0,60.0,40.0,1304.0,120.0,180.0,340.0,1,1,1,0,1,0,0
15.0,65.0,117.0,53.0,50.0,20.0,361.0,20.0,70.0,130.0,1,1,1,0,1,0,0
11.0,60.0,108.0,49.0,48.0,18.0,414.0,20.0,70.0,120.0,1,1,1,0,1,0,0
16.0,32.0,53.0,21.0,16.0,5.0,454.0,30.0,30.0,40.0,1,1,0,0,0,1,0
12.0,26.0,44.0,18.0,16.0,5.0,478.0,20.0,20.0,30.0,1,1,1,0,0,1,0
67.0,116.0,200.0,84.0,49.0,26.0,500.0,60.0,100.0,170.0,1,1,0,0,0,0,1
111.0,201.0,345.0,144.0,90.0,47.0,862.0,130.0,210.0,360.0,1,1,0,1,0,0,0
119.0,213.0,367.0,154.0,94.0,50.0,829.0,140.0,220.0,380.0,1,1,0,1,0,0,0
156.0,76.0,138.0,60.0,109.0,63.0,865.0,170.0,70.0,130.0,1,1,0,1,0,0,0
150.0,222.0,376.0,154.0,72.0,49.0,833.0,170.0,230.0,390.0,1,1,0,1,0,0,0
136.0,139.0,262.0,95.0,55.0,30.0,608.0,100.0,140.0,240.0,1,1,1,1,0,0,0
40.0,76.0,138.0,60.0,46.0,22.0,1316.0,40.0,70.0,130.0,1,1,0,0,1,0,0
40.0,76.0,138.0,60.0,113.0,22.0,1260.0,40.0,70.0,130.0,1,1,1,0,1,0,0
149.0,239.0,138.0,60.0,90.0,66.0,1464.0,40.0,70.0,130.0,1,1,0,0,1,0,0
68.0,107.0,190.0,83.0,39.0,27.0,584.0,60.0,90.0,160.0,1,1,0,0,0,1,0
53.0,80.0,134.0,54.0,27.0,15.0,456.0,50.0,70.0,110.0,1,1,0,0,0,0,1
105.0,145.0,245.0,100.0,40.0,28.0,598.0,100.0,130.0,210.0,1,1,0,0,0,0,1
78.0,111.0,187.0,76.0,33.0,21.0,580.0,80.0,80.0,130.0,1,1,0,0,0,0,1
83.0,80.0,150.0,54.0,28.0,15.0,456.0,50.0,70.0,110.0,1,1,1,0,0,0,1
40.0,76.0,138.0,60.0,100.0,64.0,1167.0,40.0,70.0,130.0,1,1,1,1,0,0,0
40.0,76.0,138.0,60.0,46.0,22.0,619.0,40.0,70.0,130.0,1,1,0,0,1,0,0
196.0,76.0,138.0,60.0,108.0,75.0,619.0,40.0,70.0,130.0,1,1,0,0,1,0,0
91.0,126.0,213.0,87.0,35.0,24.0,756.0,90.0,110.0,180.0,1,1,0,0,0,1,0
95.0,132.0,223.0,91.0,37.0,25.0,777.0,100.0,120.0,190.0,1,1,0,0,0,1,0
62.0,100.0,178.0,78.0,38.0,25.0,593.0,60.0,90.0,150.0,1,1,0,0,0,1,0
157.0,139.0,262.0,95.0,40.0,26.0,821.0,100.0,120.0,200.0,1,1,1,0,0,1,0
30.0,51.0,85.0,34.0,21.0,9.0,777.0,50.0,60.0,100.0,4,0,0,1,0,0,0
29.0,49.0,82.0,33.0,20.0,9.0,768.0,50.0,60.0,100.0,4,0,0,1,0,0,0
47.0,71.0,119.0,48.0,24.0,13.0,829.0,80.0,90.0,160.0,4,0,0,1,0,0,0
44.0,68.0,115.0,47.0,24.0,13.0,834.0,60.0,80.0,130.0,4,0,0,1,0,0,0
45.0,51.0,92.0,35.0,21.0,9.0,776.0,50.0,60.0,100.0,4,0,1,1,0,0,0
55.0,64.0,106.0,43.0,22.0,12.0,822.0,60.0,80.0,130.0,4,0,1,1,0,0,0
45.0,70.0,118.0,48.0,25.0,13.0,851.0,80.0,90.0,160.0,4,0,0,1,0,0,0
31.0,51.0,85.0,34.0,20.0,9.0,863.0,50.0,60.0,100.0,4,0,0,1,0,0,0
80.0,85.0,143.0,59.0,25.0,16.0,842.0,90.0,110.0,180.0,4,0,1,1,0,0,0
45.0,84.0,133.0,49.0,39.0,15.0,342.0,50.0,70.0,110.0,4,0,0,0,1,0,0
44.0,82.0,130.0,48.0,38.0,14.0,351.0,50.0,70.0,110.0,4,0,0,0,1,0,0
41.0,78.0,125.0,47.0,37.0,14.0,371.0,40.0,60.0,100.0,4,0,0,0,1,0,0
30.0,65.0,104.0,39.0,35.0,12.0,380.0,30.0,50.0,80.0,4,0,0,0,1,0,0
49.0,88.0,141.0,53.0,39.0,16.0,321.0,30.0,60.0,100.0,4,0,0,0,1,0,0
109.0,113.0,201.0,67.0,45.0,20.0,400.0,80.0,100.0,150.0,4,0,1,0,1,0,0
96.0,109.0,185.0,65.0,44.0,20.0,372.0,70.0,90.0,140.0,4,0,1,0,1,0,0
86.0,99.0,169.0,60.0,41.0,18.0,329.0,70.0,70.0,100.0,4,0,1,0,1,0,0
46.0,66.0,114.0,41.0,35.0,12.0,320.0,20.0,50.0,80.0,4,0,1,0,1,0,0
31.0,68.0,114.0,46.0,37.0,14.0,388.0,40.0,60.0,90.0,4,0,0,0,1,0,0
21.0,54.0,90.0,36.0,33.0,11.0,462.0,20.0,40.0,70.0,4,0,0,0,1,0,0
34.0,71.0,120.0,49.0,37.0,15.0,454.0,30.0,60.0,90.0,4,0,0,0,1,0,0
27.0,63.0,106.0,43.0,36.0,13.0,466.0,20.0,50.0,80.0,4,0,0,0,1,0,0
39.0,65.0,109.0,45.0,34.0,14.0,410.0,40.0,60.0,90.0,4,0,1,0,1,0,0
32.0,59.0,98.0,40.0,33.0,12.0,443.0,30.0,50.0,80.0,4,0,1,0,1,0,0
29.0,54.0,89.0,36.0,31.0,11.0,462.0,20.0,40.0,70.0,4,0,1,0,1,0,0
36.0,63.0,111.0,48.0,27.0,15.0,593.0,40.0,60.0,100.0,4,0,0,0,0,1,0
87.0,133.0,236.0,103.0,46.0,33.0,564.0,110.0,130.0,210.0,4,0,0,0,0,1,0
77.0,120.0,214.0,94.0,43.0,31.0,540.0,70.0,110.0,190.0,4,0,0,0,0,1,0
42.0,107.0,193.0,86.0,65.0,32.0,484.0,40.0,100.0,180.0,4,0,0,0,0,1,0
25.0,83.0,150.0,67.0,58.0,25.0,599.0,30.0,80.0,140.0,4,0,0,0,0,1,0
39.0,88.0,159.0,72.0,56.0,27.0,606.0,40.0,90.0,150.0,4,0,1,0,0,1,0
50.0,98.0,189.0,79.0,64.0,30.0,593.0,60.0,90.0,150.0,4,0,1,0,0,1,0
1.0,87.0,160.0,63.0,86.0,57.0,187.0,0.0,70.0,120.0,4,0,1,0,1,0,0
-4.0,75.0,127.0,53.0,73.0,48.0,-267.0,10.0,70.0,110.0,4,0,1,0,1,0,0
-8.0,66.0,112.0,47.0,67.0,42.0,619.0,0.0,50.0,90.0,4,0,1,0,1,0,0
